id,channel,month,number_movies,sharing
0,Cielo,august,14,1.14875
1,Cielo,april,17,0.92875
2,Cielo,february,18,0.82375
3,Cielo,january,16,0.8075
4,Cielo,june,20,1.06875
5,Cielo,july,19,1.08375
6,Cielo,may,12,1.02625
7,Cielo,march,15,0.86
8,Cielo,november,9,0.96
9,Cielo,october,18,0.97
10,Cielo,september,21,1.03375
11,Cine34,august,175,1.28625
12,Cine34,april,165,0.92
13,Cine34,february,149,0.73875
14,Cine34,january,131,0.855
15,Cine34,june,126,1.12
16,Cine34,july,192,1.22
17,Cine34,may,158,0.93875
18,Cine34,march,138,0.7175
19,Cine34,november,156,0.9475
20,Cine34,october,147,0.94
21,Cine34,september,135,1.11875
22,Iris,august,36,1.4975
23,Iris,april,38,1.15375
24,Iris,february,53,1.1575
25,Iris,january,50,1.3512499999999998
26,Iris,june,34,1.43
27,Iris,july,68,1.4125
28,Iris,may,46,1.3025000000000002
29,Iris,march,60,1.15375
30,Iris,november,58,1.42875
31,Iris,october,67,1.34875
32,Iris,september,39,1.44875
33,Italia 1,august,9,4.66
34,Italia 1,april,4,4.4425
35,Italia 1,february,6,3.8225
36,Italia 1,january,8,4.17
37,Italia 1,june,11,4.7875
38,Italia 1,july,7,5.03375
39,Italia 1,may,10,4.805
40,Italia 1,march,10,4.22875
41,Italia 1,november,15,4.4925
42,Italia 1,october,7,4.4725
43,Italia 1,september,7,4.4275
44,Rete 4,august,30,4.19875
45,Rete 4,april,30,3.77625
46,Rete 4,february,19,3.43375
47,Rete 4,january,23,3.5250000000000004
48,Rete 4,june,29,4.31125
49,Rete 4,july,33,4.141249999999999
50,Rete 4,may,15,3.965
51,Rete 4,march,18,3.97625
52,Rete 4,november,10,4.07625
53,Rete 4,october,20,3.90625
54,Rete 4,september,32,4.125
55,Sky Action,august,75,0.1325
56,Sky Action,april,83,0.09
57,Sky Action,february,49,0.0875
58,Sky Action,january,57,0.09375
59,Sky Action,june,76,0.1125
60,Sky Action,july,72,0.105
61,Sky Action,may,69,0.08
62,Sky Action,march,74,0.08125
63,Sky Action,november,72,0.0875
64,Sky Action,october,61,0.08
65,Sky Action,september,69,0.08875
66,Sky Comedy,august,52,0.10125
67,Sky Comedy,april,55,0.06125
68,Sky Comedy,february,40,0.04375
69,Sky Comedy,january,14,0.105
70,Sky Comedy,june,41,0.09
71,Sky Comedy,july,63,0.0925
72,Sky Comedy,may,54,0.06875
73,Sky Comedy,march,51,0.0574999999999999
74,Sky Comedy,november,57,0.065
75,Sky Comedy,october,38,0.0625
76,Sky Comedy,september,41,0.0787499999999999
77,Sky Drama,august,43,0.04375
78,Sky Drama,april,69,0.03625
79,Sky Drama,february,49,0.03125
80,Sky Drama,january,57,0.0424999999999999
81,Sky Drama,june,34,0.05
82,Sky Drama,july,47,0.05375
83,Sky Drama,may,61,0.035
84,Sky Drama,march,67,0.0375
85,Sky Drama,november,41,0.04
86,Sky Drama,october,46,0.0325
87,Sky Drama,september,42,0.03625
88,Sky Due,august,53,0.08875
89,Sky Due,april,48,0.06625
90,Sky Due,february,43,0.06875
91,Sky Due,january,61,0.095
92,Sky Due,june,47,0.1
93,Sky Due,july,58,0.0975
94,Sky Due,may,46,0.07875
95,Sky Due,march,40,0.07875
96,Sky Due,november,52,0.06125
97,Sky Due,october,54,0.07125
98,Sky Due,september,42,0.0775
99,Sky Suspense,august,56,0.0625
100,Sky Suspense,april,48,0.0525
101,Sky Suspense,february,48,0.0475
102,Sky Suspense,january,66,0.0574999999999999
103,Sky Suspense,june,51,0.06375
104,Sky Suspense,july,66,0.07125
105,Sky Suspense,may,62,0.05
106,Sky Suspense,march,60,0.0475
107,Sky Suspense,november,43,0.055
108,Sky Suspense,october,47,0.04875
109,Sky Suspense,september,55,0.0575
