,title,genres
0,match point,"Romance,Thriller,Drama"
1,the blind side,Drama
2,il profeta,Comedy
3,blow,"Crime,Drama"
4,blow,"Crime,Drama"
5,devil's knot,"Crime,Drama"
6,changeling,"Crime,Drama"
7,c'era una volta il west,Western
8,romanzo criminale,"Crime,Drama"
9,world trade center,"Thriller,Drama"
10,the departed,"Thriller,Crime,Drama"
11,american history x,Drama
12,forrest gump,"Romance,Drama"
13,the rocky horror picture show,Comedy
14,dark night,Horror
15,american pastoral,"Crime,Drama"
16,blade runner,"Action,Sci-Fi,Thriller"
17,l'imbalsamatore,"Romance,Drama"
18,le conseguenze dell'amore,"Romance,Crime,Drama"
19,radiofreccia,Drama
20,elle,Drama
21,la leggenda del pianista sull'oceano,"Romance,Drama"
22,in bruges,"Comedy,Crime,Drama"
23,happy family,Documentary
24,atlas,"Action,Adventure,Drama"
25,forrest gump,"Romance,Drama"
26,argo,"Action,Comedy"
27,blade runner,"Action,Sci-Fi,Thriller"
28,flags of our fathers,"Action,Adventure,Drama"
29,schindler's list,Drama
30,shiraz,"Romance,Drama"
31,shiraz,"Romance,Drama"
32,la terra,"Crime,Drama"
33,la terra,"Crime,Drama"
34,ma che colpa abbiamo noi,Comedy
35,ma che colpa abbiamo noi,Comedy
36,michael clayton,"Crime,Drama"
37,in bruges,"Comedy,Crime,Drama"
38,atlas,"Action,Adventure,Drama"
39,atlas,"Action,Adventure,Drama"
40,atlas,"Action,Adventure,Drama"
41,the departed,"Thriller,Crime,Drama"
42,the departed,"Thriller,Crime,Drama"
43,argo,"Action,Comedy"
44,blade runner,"Action,Sci-Fi,Thriller"
45,blade runner,"Action,Sci-Fi,Thriller"
46,flags of our fathers,"Action,Adventure,Drama"
47,flags of our fathers,"Action,Adventure,Drama"
48,eyes wide shut,"Thriller,Drama"
49,edison,"Action,Crime,Drama"
50,in bruges,"Comedy,Crime,Drama"
51,"il buono, il brutto, il cattivo",Western
52,atlas,"Action,Adventure,Drama"
53,the interpreter,"Thriller,Crime"
54,nuovomondo,"Romance,Drama"
55,blade runner,"Action,Sci-Fi,Thriller"
56,flags of our fathers,"Action,Adventure,Drama"
57,vicky cristina barcelona,"Comedy,Romance,Drama"
58,le conseguenze dell'amore,"Romance,Crime,Drama"
59,blackbird,Drama
60,edison,"Action,Crime,Drama"
61,match point,"Romance,Thriller,Drama"
62,la leggenda del pianista sull'oceano,"Romance,Drama"
63,il profeta,Comedy
64,"il buono, il brutto, il cattivo",Western
65,"il buono, il brutto, il cattivo",Western
66,"il buono, il brutto, il cattivo",Western
67,barry lyndon,"Adventure,Drama"
68,c'era una volta il west,Western
69,atlas,"Action,Adventure,Drama"
70,american pastoral,"Crime,Drama"
71,eyes wide shut,"Thriller,Drama"
72,eyes wide shut,"Thriller,Drama"
73,the blind side,Drama
74,la leggenda del pianista sull'oceano,"Romance,Drama"
75,michael clayton,"Crime,Drama"
76,syriana,"Thriller,Drama"
77,ted bundy,"Crime,Drama"
78,shakespeare in love,"Comedy,Drama"
79,argo,"Action,Comedy"
80,mars attacks!,"Comedy,Sci-Fi"
81,blade runner,"Action,Sci-Fi,Thriller"
82,moulin rouge!,"Romance,Drama"
83,michael clayton,"Crime,Drama"
84,barry lyndon,"Adventure,Drama"
85,changeling,"Crime,Drama"
86,atlas,"Action,Adventure,Drama"
87,thank you for smoking,"Comedy,Drama"
88,ted bundy,"Crime,Drama"
89,suburbicon,"Comedy,Crime,Drama"
90,flags of our fathers,"Action,Adventure,Drama"
91,shiraz,"Romance,Drama"
92,shiraz,"Romance,Drama"
93,la terra,"Crime,Drama"
94,moulin rouge!,"Romance,Drama"
95,gomorra,"Crime,Drama"
96,thank you for smoking,"Comedy,Drama"
97,the departed,"Thriller,Crime,Drama"
98,the departed,"Thriller,Crime,Drama"
99,ted bundy,"Crime,Drama"
100,ted bundy,"Crime,Drama"
101,philadelphia,Drama
102,shakespeare in love,"Comedy,Drama"
103,burn after reading,"Comedy,Crime,Drama"
104,argo,"Action,Comedy"
105,moulin rouge!,"Romance,Drama"
106,gomorra,"Crime,Drama"
107,gomorra,"Crime,Drama"
108,gomorra,"Crime,Drama"
109,match point,"Romance,Thriller,Drama"
110,michael collins,"Thriller,Drama"
111,waterworld,"Action,Adventure,Sci-Fi"
112,waterworld,"Action,Adventure,Sci-Fi"
113,frontera,"Action,Crime,Drama"
114,firewall,"Action,Thriller,Crime"
115,we were soldiers,"Action,Drama"
116,agents secrets,"Action,Thriller,Crime"
117,match point,"Romance,Thriller,Drama"
118,gli eroi del west,"Comedy,Western"
119,"metti, una sera a cena",Drama
120,frontera,"Action,Crime,Drama"
121,we were soldiers,"Action,Drama"
122,we were soldiers,"Action,Drama"
123,vendetta... sarda,Comedy
124,ischia operazione amore,Comedy
125,blues metropolitano,"Comedy,Drama"
126,italiani a rio,Comedy
127,il mistero di bellavista,Comedy
128,lo scugnizzo,"Action,Comedy,Drama"
129,i gemelli del texas,"Comedy,Western"
130,agente 077 dall'oriente con furore,"Action,Adventure,Comedy"
131,syriana,"Thriller,Drama"
132,entourage,Drama
133,argo,"Action,Comedy"
134,il trapianto,Comedy
135,michael collins,"Thriller,Drama"
136,entourage,Drama
137,argo,"Action,Comedy"
138,the new world,Drama
139,the truth about charlie,Thriller
140,bowfinger,Comedy
141,the babe,Drama
142,frequency,"Crime,Drama"
143,agents secrets,"Action,Thriller,Crime"
144,city hall,"Thriller,Drama"
145,match point,"Romance,Thriller,Drama"
146,la leggenda del pianista sull'oceano,"Romance,Drama"
147,il profeta,Comedy
148,"il buono, il brutto, il cattivo",Western
149,c'era una volta il west,Western
150,thank you for smoking,"Comedy,Drama"
151,thank you for smoking,"Comedy,Drama"
152,dark night,Horror
153,flags of our fathers,"Action,Adventure,Drama"
154,eyes wide shut,"Thriller,Drama"
155,moulin rouge!,"Romance,Drama"
156,the blind side,Drama
157,la leggenda del pianista sull'oceano,"Romance,Drama"
158,changeling,"Crime,Drama"
159,syriana,"Thriller,Drama"
160,atlas,"Action,Adventure,Drama"
161,marnie,"Crime,Drama"
162,nuovomondo,"Romance,Drama"
163,blade runner,"Action,Sci-Fi,Thriller"
164,"buongiorno, notte",Drama
165,"buongiorno, notte",Drama
166,shiraz,"Romance,Drama"
167,the conspirator,"Crime,Drama"
168,michael clayton,"Crime,Drama"
169,the departed,"Thriller,Crime,Drama"
170,ted bundy,"Crime,Drama"
171,suburbicon,"Comedy,Crime,Drama"
172,burn after reading,"Comedy,Crime,Drama"
173,forrest gump,"Romance,Drama"
174,marnie,"Crime,Drama"
175,cast away,"Romance,Adventure,Drama"
176,"buongiorno, notte",Drama
177,moulin rouge!,"Romance,Drama"
178,syriana,"Thriller,Drama"
179,n (io e napoleone),Comedy
180,n (io e napoleone),Comedy
181,ted bundy,"Crime,Drama"
182,ted bundy,"Crime,Drama"
183,shakespeare in love,"Comedy,Drama"
184,marnie,"Crime,Drama"
185,marnie,"Crime,Drama"
186,"buongiorno, notte",Drama
187,"buongiorno, notte",Drama
188,gomorra,"Crime,Drama"
189,pulp fiction,"Crime,Drama"
190,la donna scimmia,"Comedy,Drama"
191,match point,"Romance,Thriller,Drama"
192,la leggenda del pianista sull'oceano,"Romance,Drama"
193,il profeta,Comedy
194,il profeta,Comedy
195,the wrestler,"Action,Crime,Drama"
196,syriana,"Thriller,Drama"
197,c'era una volta il west,Western
198,ted bundy,"Crime,Drama"
199,ted bundy,"Crime,Drama"
200,suburbicon,"Comedy,Crime,Drama"
201,blade runner,"Action,Sci-Fi,Thriller"
202,l'imbalsamatore,"Romance,Drama"
203,motherless brooklyn,"Crime,Drama"
204,la finestra di fronte,"Romance,Drama"
205,the blind side,Drama
206,la leggenda del pianista sull'oceano,"Romance,Drama"
207,la padrina,Crime
208,saturno contro,"Romance,Drama"
209,barry lyndon,"Adventure,Drama"
210,syriana,"Thriller,Drama"
211,n (io e napoleone),Comedy
212,vanilla sky,"Romance,Fantasy"
213,marnie,"Crime,Drama"
214,nuovomondo,"Romance,Drama"
215,patch adams,"Comedy,Drama"
216,motherless brooklyn,"Crime,Drama"
217,the conspirator,"Crime,Drama"
218,la padrina,Crime
219,la padrina,Crime
220,saturno contro,"Romance,Drama"
221,the wrestler,"Action,Crime,Drama"
222,tra due mondi,Drama
223,the departed,"Thriller,Crime,Drama"
224,hook,"Comedy,Adventure"
225,forrest gump,"Romance,Drama"
226,forrest gump,"Romance,Drama"
227,marnie,"Crime,Drama"
228,patch adams,"Comedy,Drama"
229,patch adams,"Comedy,Drama"
230,white oleander,Drama
231,american beauty,Drama
232,la padrina,Crime
233,saturno contro,"Romance,Drama"
234,michael clayton,"Crime,Drama"
235,big fish,"Adventure,Drama,Fantasy"
236,c'era una volta il west,Western
237,tra due mondi,Drama
238,munich,"Action,Drama"
239,burn after reading,"Comedy,Crime,Drama"
240,vanilla sky,"Romance,Fantasy"
241,"buongiorno, notte",Drama
242,la terra,"Crime,Drama"
243,la finestra di fronte,"Romance,Drama"
244,match point,"Romance,Thriller,Drama"
245,mission: impossible,"Action,Adventure,Thriller"
246,catlow,"Comedy,Western"
247,michael collins,"Thriller,Drama"
248,il grande botto,Comedy
249,the new world,Drama
250,firewall,"Action,Thriller,Crime"
251,tutto a posto e niente in ordine,"Comedy,Drama"
252,il mammasantissima,"Crime,Drama"
253,by the sea,"Comedy,Romance"
254,i magnifici tre,"Comedy,Western"
255,lost in translation,"Comedy,Drama"
256,the river wild,"Thriller,Adventure,Crime"
257,streghe verso nord,"Comedy,Fantasy"
258,frequency,"Crime,Drama"
259,i contrabbandieri di santa lucia,"Thriller,Crime,Drama"
260,un dollaro di fifa,"Comedy,Western"
261,agents secrets,"Action,Thriller,Crime"
262,bruciati da cocente passione,Comedy
263,7 donne d'oro contro due 07,"Comedy,Adventure,Crime"
264,a 008 operazione sterminio,"Action,Drama"
265,"lui, lei e il nonno",Comedy
266,i baccanali di tiberio,"Comedy,Adventure,Fantasy"
267,match point,"Romance,Thriller,Drama"
268,mission: impossible,"Action,Adventure,Thriller"
269,catlow,"Comedy,Western"
270,catlow,"Comedy,Western"
271,michael collins,"Thriller,Drama"
272,argo,"Action,Comedy"
273,argo,"Action,Comedy"
274,argo,"Action,Comedy"
275,blade runner,"Action,Sci-Fi,Thriller"
276,blade runner,"Action,Sci-Fi,Thriller"
277,waterworld,"Action,Adventure,Sci-Fi"
278,the new world,Drama
279,firewall,"Action,Thriller,Crime"
280,by the sea,"Comedy,Romance"
281,lost in translation,"Comedy,Drama"
282,the river wild,"Thriller,Adventure,Crime"
283,room,Drama
284,frequency,"Crime,Drama"
285,frequency,"Crime,Drama"
286,the prestige,"Sci-Fi,Drama"
287,spy,"Action,Crime,Drama"
288,agents secrets,"Action,Thriller,Crime"
289,cellular,"Action,Thriller,Crime"
290,cellular,"Action,Thriller,Crime"
291,master spy,Drama
292,catlow,"Comedy,Western"
293,entourage,Drama
294,argo,"Action,Comedy"
295,waterworld,"Action,Adventure,Sci-Fi"
296,chinese box,"Romance,Drama"
297,the truth about charlie,Thriller
298,by the sea,"Comedy,Romance"
299,frequency,"Crime,Drama"
300,highlander,"Action,Adventure,Fantasy"
301,the prestige,"Sci-Fi,Drama"
302,the prestige,"Sci-Fi,Drama"
303,being flynn,Drama
304,cellular,"Action,Thriller,Crime"
305,cellular,"Action,Thriller,Crime"
306,city hall,"Thriller,Drama"
307,kangaroo jack,"Action,Adventure,Comedy"
308,master spy,Drama
309,entourage,Drama
310,chinese box,"Romance,Drama"
311,i magnifici brutos del west,"Comedy,Western"
312,match point,"Romance,Thriller,Drama"
313,il profeta,Comedy
314,barry lyndon,"Adventure,Drama"
315,c'era una volta il west,Western
316,munich,"Action,Drama"
317,the departed,"Thriller,Crime,Drama"
318,ted bundy,"Crime,Drama"
319,burn after reading,"Comedy,Crime,Drama"
320,marnie,"Crime,Drama"
321,dark night,Horror
322,la terra,"Crime,Drama"
323,motherless brooklyn,"Crime,Drama"
324,il colosso di rodi,"Adventure,Drama"
325,the blind side,Drama
326,michael clayton,"Crime,Drama"
327,big fish,"Adventure,Drama,Fantasy"
328,"il buono, il brutto, il cattivo",Western
329,ted bundy,"Crime,Drama"
330,suburbicon,"Comedy,Crime,Drama"
331,forrest gump,"Romance,Drama"
332,marnie,"Crime,Drama"
333,white oleander,Drama
334,american beauty,Drama
335,motherless brooklyn,"Crime,Drama"
336,la finestra di fronte,"Romance,Drama"
337,la leggenda del pianista sull'oceano,"Romance,Drama"
338,big fish,"Adventure,Drama,Fantasy"
339,big fish,"Adventure,Drama,Fantasy"
340,syriana,"Thriller,Drama"
341,n (io e napoleone),Comedy
342,shakespeare in love,"Comedy,Drama"
343,burn after reading,"Comedy,Crime,Drama"
344,per un pugno di dollari,"Action,Western,Drama"
345,nuovomondo,"Romance,Drama"
346,blade runner,"Action,Sci-Fi,Thriller"
347,flags of our fathers,"Action,Adventure,Drama"
348,white oleander,Drama
349,la terra,"Crime,Drama"
350,american beauty,Drama
351,l'imbalsamatore,"Romance,Drama"
352,motherless brooklyn,"Crime,Drama"
353,moulin rouge!,"Romance,Drama"
354,the conspirator,"Crime,Drama"
355,the conspirator,"Crime,Drama"
356,la finestra di fronte,"Romance,Drama"
357,la leggenda del pianista sull'oceano,"Romance,Drama"
358,big fish,"Adventure,Drama,Fantasy"
359,tra due mondi,Drama
360,tra due mondi,Drama
361,munich,"Action,Drama"
362,forrest gump,"Romance,Drama"
363,"buongiorno, notte",Drama
364,white oleander,Drama
365,american beauty,Drama
366,motherless brooklyn,"Crime,Drama"
367,la finestra di fronte,"Romance,Drama"
368,la finestra di fronte,"Romance,Drama"
369,elephant,"Thriller,Crime,Drama"
370,match point,"Romance,Thriller,Drama"
371,il profeta,Comedy
372,michael clayton,"Crime,Drama"
373,blow,"Crime,Drama"
374,romanzo criminale,"Crime,Drama"
375,suburbicon,"Comedy,Crime,Drama"
376,the rocky horror picture show,Comedy
377,dark night,Horror
378,nuovomondo,"Romance,Drama"
379,american pastoral,"Crime,Drama"
380,flags of our fathers,"Action,Adventure,Drama"
381,schindler's list,Drama
382,shiraz,"Romance,Drama"
383,eyes wide shut,"Thriller,Drama"
384,l'imbalsamatore,"Romance,Drama"
385,le conseguenze dell'amore,"Romance,Crime,Drama"
386,radiofreccia,Drama
387,elle,Drama
388,the blind side,Drama
389,la leggenda del pianista sull'oceano,"Romance,Drama"
390,changeling,"Crime,Drama"
391,atlas,"Action,Adventure,Drama"
392,atlas,"Action,Adventure,Drama"
393,magnolia,Drama
394,blade runner,"Action,Sci-Fi,Thriller"
395,the conspirator,"Crime,Drama"
396,la leggenda del pianista sull'oceano,"Romance,Drama"
397,"il buono, il brutto, il cattivo",Western
398,nuovomondo,"Romance,Drama"
399,shiraz,"Romance,Drama"
400,la terra,"Crime,Drama"
401,vicky cristina barcelona,"Comedy,Romance,Drama"
402,the conspirator,"Crime,Drama"
403,in bruges,"Comedy,Crime,Drama"
404,syriana,"Thriller,Drama"
405,magnolia,Drama
406,burn after reading,"Comedy,Crime,Drama"
407,argo,"Action,Comedy"
408,blade runner,"Action,Sci-Fi,Thriller"
409,flags of our fathers,"Action,Adventure,Drama"
410,flags of our fathers,"Action,Adventure,Drama"
411,the conspirator,"Crime,Drama"
412,jackie brown,"Thriller,Crime,Drama"
413,match point,"Romance,Thriller,Drama"
414,club life,"Action,Thriller,Drama"
415,pink cadillac,"Action,Comedy,Crime"
416,air america,"Action,Comedy"
417,lost in translation,"Comedy,Drama"
418,superman ii,"Action,Adventure,Sci-Fi"
419,the blind side,Drama
420,the departed,"Thriller,Crime,Drama"
421,the departed,"Thriller,Crime,Drama"
422,burn after reading,"Comedy,Crime,Drama"
423,american pastoral,"Crime,Drama"
424,ballistic,"Action,Thriller"
425,ballistic,"Action,Thriller"
426,ballistic,"Action,Thriller"
427,frontera,"Action,Crime,Drama"
