,day,day_number,month,daytime,title,duration,duration_with_advertising,channel,year,genres,rating,advertising,sharing
0,Martedì,25,gennaio,notte,match point,124,125,Sky Due,2005,"Romance,Thriller,Drama",7.6,1,0.14
1,Lunedì,24,gennaio,notte,the blind side,129,130,Sky Due,2009,Drama,7.6,1,0.14
2,Sabato,29,gennaio,notte,il profeta,100,155,Sky Due,1968,Comedy,6.1,55,0.14
3,Venerdì,7,gennaio,notte,blow,124,125,Sky Due,2001,"Crime,Drama",7.6,1,0.14
4,Sabato,22,gennaio,notte,blow,124,125,Sky Due,2001,"Crime,Drama",7.6,1,0.14
5,Lunedì,10,gennaio,notte,devil's knot,114,115,Sky Due,2013,"Crime,Drama",6.1,1,0.14
6,Martedì,4,gennaio,notte,changeling,141,145,Sky Due,2008,"Crime,Drama",7.7,4,0.14
7,Sabato,15,gennaio,notte,c'era una volta il west,165,165,Sky Due,1968,Western,8.5,0,0.14
8,Venerdì,7,gennaio,notte,romanzo criminale,152,155,Sky Due,2005,"Crime,Drama",7.2,3,0.14
9,Mercoledì,26,gennaio,notte,world trade center,129,130,Sky Due,2006,"Thriller,Drama",5.9,1,0.14
10,Sabato,29,gennaio,notte,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.14
11,Giovedì,13,gennaio,notte,american history x,119,120,Sky Due,1998,Drama,8.5,1,0.14
12,Venerdì,21,gennaio,notte,forrest gump,142,145,Sky Due,1994,"Romance,Drama",8.8,3,0.14
13,Giovedì,27,gennaio,notte,the rocky horror picture show,100,100,Sky Due,1975,Comedy,7.4,0,0.14
14,Sabato,22,gennaio,notte,dark night,90,90,Sky Due,2006,Horror,6.1,0,0.14
15,Mercoledì,12,gennaio,notte,american pastoral,108,110,Sky Due,2016,"Crime,Drama",6.1,2,0.14
16,Venerdì,28,gennaio,notte,blade runner,117,120,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,3,0.14
17,Giovedì,20,gennaio,notte,l'imbalsamatore,100,100,Sky Due,2002,"Romance,Drama",7.0,0,0.14
18,Domenica,9,gennaio,notte,le conseguenze dell'amore,100,105,Sky Due,2004,"Romance,Crime,Drama",7.5,5,0.14
19,Mercoledì,12,gennaio,notte,radiofreccia,112,115,Sky Due,1998,Drama,7.1,3,0.14
20,Sabato,1,gennaio,notte,elle,86,135,Sky Due,1995,Drama,6.0,49,0.14
21,Giovedì,20,gennaio,pomeriggio,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.075
22,Lunedì,24,gennaio,pomeriggio,in bruges,107,110,Sky Due,2008,"Comedy,Crime,Drama",7.9,3,0.075
23,Sabato,15,gennaio,pomeriggio,happy family,68,100,Sky Due,2004,Documentary,6.9,32,0.075
24,Lunedì,17,gennaio,pomeriggio,atlas,79,100,Sky Due,1961,"Action,Adventure,Drama",4.1,21,0.075
25,Lunedì,10,gennaio,pomeriggio,forrest gump,142,145,Sky Due,1994,"Romance,Drama",8.8,3,0.075
26,Domenica,16,gennaio,pomeriggio,argo,106,125,Sky Due,2004,"Action,Comedy",7.1,19,0.075
27,Mercoledì,5,gennaio,pomeriggio,blade runner,117,125,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,8,0.075
28,Martedì,11,gennaio,pomeriggio,flags of our fathers,135,140,Sky Due,2006,"Action,Adventure,Drama",7.1,5,0.075
29,Giovedì,27,gennaio,pomeriggio,schindler's list,195,195,Sky Due,1993,Drama,8.9,0,0.075
30,Giovedì,6,gennaio,pomeriggio,shiraz,97,120,Sky Due,1928,"Romance,Drama",7.0,23,0.075
31,Lunedì,17,gennaio,pomeriggio,shiraz,97,115,Sky Due,1928,"Romance,Drama",7.0,18,0.075
32,Martedì,25,gennaio,pomeriggio,la terra,112,120,Sky Due,2006,"Crime,Drama",6.9,8,0.075
33,Domenica,9,gennaio,pomeriggio,la terra,112,115,Sky Due,2006,"Crime,Drama",6.9,3,0.075
34,Martedì,25,gennaio,pomeriggio,ma che colpa abbiamo noi,114,125,Sky Due,2003,Comedy,6.2,11,0.075
35,Sabato,15,gennaio,pomeriggio,ma che colpa abbiamo noi,114,120,Sky Due,2003,Comedy,6.2,6,0.075
36,Mercoledì,5,gennaio,sera,michael clayton,119,125,Sky Due,2007,"Crime,Drama",7.2,6,0.095
37,Domenica,23,gennaio,sera,in bruges,107,110,Sky Due,2008,"Comedy,Crime,Drama",7.9,3,0.095
38,Lunedì,31,gennaio,sera,atlas,79,95,Sky Due,1961,"Action,Adventure,Drama",4.1,16,0.095
39,Domenica,16,gennaio,sera,atlas,79,95,Sky Due,1961,"Action,Adventure,Drama",4.1,16,0.095
40,Venerdì,21,gennaio,sera,atlas,79,100,Sky Due,1961,"Action,Adventure,Drama",4.1,21,0.095
41,Giovedì,6,gennaio,sera,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.095
42,Giovedì,20,gennaio,sera,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.095
43,Sabato,1,gennaio,sera,argo,106,125,Sky Due,2004,"Action,Comedy",7.1,19,0.095
44,Martedì,4,gennaio,sera,blade runner,117,125,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,8,0.095
45,Domenica,16,gennaio,sera,blade runner,117,125,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,8,0.095
46,Venerdì,21,gennaio,sera,flags of our fathers,135,140,Sky Due,2006,"Action,Adventure,Drama",7.1,5,0.095
47,Lunedì,10,gennaio,sera,flags of our fathers,135,140,Sky Due,2006,"Action,Adventure,Drama",7.1,5,0.095
48,Domenica,9,gennaio,sera,eyes wide shut,159,160,Sky Due,1999,"Thriller,Drama",7.4,1,0.095
49,Venerdì,7,gennaio,sera,edison,99,115,Sky Due,2005,"Action,Crime,Drama",5.3,16,0.095
